County,"Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2016-2020","Foreign born persons, percent, 2016-2020","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2016-2020","Median value of owner-occupied housing units, 2016-2020","Median selected monthly owner costs -with a mortgage, 2016-2020","Median selected monthly owner costs -without a mortgage, 2016-2020","Median gross rent, 2016-2020","Building permits, 2021","Households, 2016-2020","Persons per household, 2016-2020","Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","Households with a computer, percent, 2016-2020","Households with a broadband Internet subscription, percent, 2016-2020","High school graduate or higher, percent of persons age 25 years+, 2016-2020","Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","With a disability, under age 65 years, percent, 2016-2020","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2016-2020","In civilian labor force, female, percent of population age 16 years+, 2016-2020","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2016-2020","Median household income (in 2020 dollars), 2016-2020","Per capita income in past 12 months (in 2020 dollars), 2016-2020","Persons in poverty, percent","Total employer establishments, 2020","Total employment, 2020","Total annual payroll, 2020 ($1,000)","Total employment, percent change, 2019-2020","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Baltimore,"849,316","854,535",-0.60%,"854,535","805,029",5.90%,21.60%,17.60%,52.70%,60.20%,30.30%,0.40%,6.30%,0.10%,2.60%,5.80%,55.80%,"42,745",12.30%,"338,291",66.10%,"$267,400 ","$1,785 ",$598 ,"$1,328 ",986,"315,347",2.56,87.90%,14.60%,93.00%,87.80%,91.60%,39.80%,7.70%,6.90%,66.20%,62.20%,"1,555,794","6,062,420","8,066,749","12,645,701","$15,470 ",29.8,"$78,724 ","$41,089 ",8.90%,"20,012","337,934","18,283,836",0.80%,"70,590","75,371","41,451","27,265","23,329","49,895","7,322","65,022","1,345.50",598.3,"""24005"""
Montgomery,"1,054,827","1,062,061",-0.70%,"1,062,061","971,777",6.10%,23.10%,16.10%,51.60%,60.00%,20.10%,0.70%,15.60%,0.10%,3.50%,20.10%,42.90%,"38,853",32.20%,"391,006",65.60%,"$491,700 ","$2,588 ",$830 ,"$1,784 ","1,857","372,825",2.79,86.10%,40.90%,97.10%,93.40%,91.40%,59.20%,5.20%,8.10%,70.50%,65.60%,"2,080,014","7,227,231","2,172,647","13,706,235","$13,642 ",34.4,"$111,812 ","$55,643 ",6.70%,"27,498","451,660","31,225,789",1.70%,"118,612","118,965","62,015","46,404","51,051","63,992","9,178","105,555","1,978.20",491.25,"""24031"""
Carroll,"173,873","172,891",0.60%,"172,891","167,134",5.50%,21.60%,17.30%,50.50%,91.70%,3.90%,0.30%,2.10%,0.10%,2.00%,3.90%,88.30%,"10,806",4.10%,"63,974",82.10%,"$343,400 ","$2,049 ",$589 ,"$1,121 ",481,"61,261",2.69,91.70%,5.20%,92.50%,88.50%,93.10%,37.00%,8.00%,4.50%,67.00%,61.80%,"246,824","950,258","1,019,422","2,245,218","$13,427 ",36.1,"$99,569 ","$43,183 ",5.20%,"4,188","52,600","2,302,769",1.50%,"12,795","14,688","8,376","4,670","1,032","13,234","1,524","12,512",373.4,447.6,"""24013"""
Caroline,"33,386","33,293",0.30%,"33,293","33,066",6.10%,23.60%,16.70%,51.10%,81.00%,14.10%,0.90%,1.20%,0.30%,2.50%,7.80%,75.10%,"2,153",6.30%,"13,660",71.00%,"$213,400 ","$1,561 ",$530 ,"$1,003 ",95,"12,160",2.69,90.60%,8.40%,89.30%,83.00%,84.30%,19.00%,10.80%,8.50%,64.20%,60.30%,D,"44,583","302,264","476,213","$14,555 ",32.7,"$59,042 ","$29,814 ",12.40%,610,"7,293","308,514",-1.80%,"2,608","2,678","1,460",850,221,"2,356",250,"2,199",103.5,319.42,"""24011"""
Calvert,"93,928","92,783",1.20%,"92,783","88,737",5.30%,23.00%,15.50%,50.40%,81.00%,13.30%,0.50%,1.90%,0.10%,3.20%,4.40%,77.50%,"7,872",3.30%,"35,514",84.70%,"$364,800 ","$2,136 ",$644 ,"$1,461 ",240,"32,558",2.81,90.30%,4.50%,93.30%,90.50%,94.30%,34.20%,6.60%,4.20%,66.60%,62.10%,D,"342,242","84,076","848,445","$9,466 ",42.2,"$112,696 ","$47,066 ",5.30%,"1,716","19,118","900,749",-1.10%,"6,564","7,478","3,830","3,133","1,284","5,999",832,"6,374",416.3,213.15,"""24009"""
Baltimore City,"576,498","585,708",-1.60%,"585,708","620,961",6.20%,20.20%,14.50%,53.10%,31.80%,62.70%,0.50%,2.70%,0.10%,2.20%,5.70%,27.70%,"26,447",8.10%,"293,889",47.70%,"$167,300 ","$1,485 ",$552 ,"$1,094 ","1,557","242,499",2.39,84.30%,9.90%,87.90%,78.00%,85.50%,32.90%,11.80%,7.00%,62.00%,60.40%,"1,607,810","11,349,171","5,043,278","3,647,668","$5,871 ",31.1,"$52,164 ","$32,699 ",20.00%,"12,261","302,260","19,698,055",0.10%,"39,609","50,735","21,952","24,599","27,673","20,782","4,216","43,918","7,671.50",80.94,"""24510"""
Anne Arundel,"590,336","588,261",0.40%,"588,261","537,656",6.10%,22.30%,15.00%,50.50%,73.60%,18.30%,0.40%,4.20%,0.10%,3.30%,8.40%,66.70%,"49,225",8.60%,"227,936",74.30%,"$370,100 ","$2,191 ",$625 ,"$1,690 ","1,745","213,122",2.62,85.40%,11.70%,95.70%,92.50%,93.20%,43.00%,7.30%,4.90%,66.70%,63.80%,"1,564,002","2,975,254","4,456,881","8,758,765","$15,911 ",31.2,"$103,225 ","$48,125 ",5.20%,"14,405","247,265","14,862,469",0.10%,"44,895","46,997","25,348","17,089","9,994","35,336","5,547","39,219","1,295.90",414.9,"""24003"""
Allegany,"67,729","68,106",-0.60%,"68,106","75,087",4.50%,17.30%,20.60%,47.90%,88.20%,8.30%,0.20%,1.10%,0.10%,2.10%,1.90%,86.70%,"5,073",2.00%,"32,737",69.10%,"$126,500 ","$1,077 ",$422 ,$719 ,36,"27,369",2.28,85.50%,3.70%,85.80%,79.70%,89.80%,19.30%,13.70%,5.80%,49.50%,49.90%,D,"616,134",D,"922,837","$12,469 ",22.4,"$49,449 ","$24,776 ",14.70%,"1,461","22,432","805,909",-5.80%,"2,937","4,323","2,398","1,373",311,"3,738",417,"3,600",177,424.16,"""24001"""
Harford,"262,977","260,924",0.80%,"260,924","244,826",5.60%,22.20%,16.60%,51.00%,78.80%,14.80%,0.30%,3.10%,0.10%,2.80%,4.80%,75.10%,"18,896",4.80%,"101,600",79.00%,"$302,900 ","$1,912 ",$598 ,"$1,294 ",902,"95,094",2.65,89.10%,7.30%,94.40%,90.60%,93.10%,36.90%,7.20%,4.60%,67.20%,63.10%,"390,891","1,029,069","1,866,801","3,792,912","$15,256 ",32.7,"$94,003 ","$42,744 ",6.20%,"5,539","76,214","3,567,188",0.40%,"17,530","20,330","10,727","7,328","3,134","16,495","2,473","16,889",560.1,437.09,"""24025"""
Garrett,"28,702","28,806",-0.40%,"28,806","30,097",4.80%,18.40%,23.10%,50.60%,97.30%,1.10%,0.20%,0.40%,Z,1.00%,1.20%,96.20%,"2,043",1.10%,"19,458",79.30%,"$194,600 ","$1,368 ",$411 ,$629 ,153,"12,745",2.23,91.10%,2.50%,86.00%,78.30%,90.20%,23.50%,11.90%,7.50%,59.10%,53.40%,D,"118,632",D,"517,936","$17,349 ",23.7,"$54,542 ","$34,006 ",12.80%,893,"10,622","376,267",-0.20%,"2,339","3,042","1,677",737,26,"2,905",210,"2,686",46.5,647.1,"""24023"""
